person_accuracy,group_accuracy_personlevel,group_exact_match_rate,abs_bias_treatment_gap,method,ambiguity,seed
0.24285714285714285,0.2857142857142857,0.07142857142857142,4.477134027554136,Greedy person-level,1.5,1500054
0.2857142857142857,0.3142857142857143,0.14285714285714285,3.5934326504926446,Hungarian person-level,1.5,1500054
0.5857142857142857,0.6142857142857143,0.6142857142857143,1.5863272905524752,Set-aware group-first,1.5,1500054
0.2357142857142857,0.2785714285714286,0.05714285714285714,5.094307906530368,Greedy person-level,1.5,1500055
0.36428571428571427,0.4142857142857143,0.17142857142857143,4.6186596728906295,Hungarian person-level,1.5,1500055
0.6285714285714286,0.7142857142857143,0.7142857142857143,2.0041835016092904,Set-aware group-first,1.5,1500055
0.32857142857142857,0.34285714285714286,0.1,4.242929728826098,Greedy person-level,1.5,1500056
0.35714285714285715,0.39285714285714285,0.12857142857142856,4.491217892895818,Hungarian person-level,1.5,1500056
0.6285714285714286,0.7142857142857143,0.7142857142857143,1.9950134253155554,Set-aware group-first,1.5,1500056
0.2714285714285714,0.3142857142857143,0.11428571428571428,3.0378527406434657,Greedy person-level,1.5,1500057
0.25,0.29285714285714287,0.07142857142857142,2.6605149953182874,Hungarian person-level,1.5,1500057
0.6142857142857143,0.6571428571428571,0.6571428571428571,1.4776497892698828,Set-aware group-first,1.5,1500057
0.2357142857142857,0.2714285714285714,0.07142857142857142,5.9783952084919605,Greedy person-level,1.5,1500058
0.2571428571428571,0.30714285714285716,0.07142857142857142,6.268521125896427,Hungarian person-level,1.5,1500058
0.5285714285714286,0.5857142857142857,0.5857142857142857,2.2071544147432363,Set-aware group-first,1.5,1500058
0.2714285714285714,0.30714285714285716,0.11428571428571428,4.346545689683715,Greedy person-level,1.5,1500059
0.35714285714285715,0.40714285714285714,0.18571428571428572,3.690450860923434,Hungarian person-level,1.5,1500059
0.5428571428571428,0.5857142857142857,0.5857142857142857,2.65856193909444,Set-aware group-first,1.5,1500059
0.21428571428571427,0.25,0.07142857142857142,4.165823687462655,Greedy person-level,1.5,1500060
0.29285714285714287,0.32142857142857145,0.1,3.2767322431027353,Hungarian person-level,1.5,1500060
